dates;Inflation;Fed Fund Rate;GDP;10-year real rates;Value;Market
31.03.1963;0,004279131;0,0012;0,011221215;0,028230527;0,019;0,0308
30.06.1963;0,003277614;0;0,021984345;0,026759351;0,0077;-0,02
30.09.1963;0,003593597;0,005;0,006556024;0,030838067;0,0008;-0,0157
31.12.1963;0,005208333;0;0,021082521;0,024941804;-0,0008;0,0183
31.03.1964;0,001943005;0;0,010887337;0,02820626;0,0336;0,0141
30.06.1964;0,002262443;0;0,015623007;0,028432375;0,0063;0,0127
30.09.1964;0,002257336;0;0,003088719;0,03008125;0,017;0,0269
31.12.1964;0,005469755;0,005;0,024197519;0,030118135;-0,0248;0,0003
31.03.1965;0,00192;0;0,012632982;0,03004137;0,0103;-0,0134
30.06.1965;0,009581603;0,0013;0,022232523;0,022651403;0,0059;-0,0551
30.09.1965;0,000316356;-0,0038;0,023040405;0,026125483;-0,0012;0,0286
31.12.1965;0,007273877;0,0038;0,024342288;0,0273;0,0202;0,0101
31.03.1966;0,010361068;0,005;0,00341602;0,01931335;-0,02;-0,0251
30.06.1966;0,00621504;-0,0038;0,008469051;0,02534062;0,0049;-0,0144
30.09.1966;0,011426807;0,0163;0,008204071;0,014463125;0,0051;-0,0106
31.12.1966;0,00519084;-0,0038;0,008855526;0,012805024;-0,0132;0,0013
31.03.1967;0,002430134;-0,0175;0,000612978;0,019518334;0,0054;0,0399
30.06.1967;0,009090909;0,0025;0,009461209;0,0237874;0,0085;0,0241
30.09.1967;0,009009009;0;0,007540171;0,027145802;-0,0242;0,0311
31.12.1967;0,011904762;0,005;0,020395071;0,024193196;-0,0063;0,0305
31.03.1968;0,008823529;0,0025;0,016707996;0,018206061;-0,0059;0,002
30.06.1968;0,011661808;0,0138;0,007749557;0,014357958;0,0083;0,0069
30.09.1968;0,011527378;-0,0038;0,0039332;0,010257143;0,003;0,0403
31.12.1968;0,014245014;0,0025;0,015651155;0,014541176;-0,0001;-0,0394
